<190>JAN 17 20:40:23 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 1
<190>Jan 17 21:51:50 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_LOGIN_SUCCESS, seq_num=8837, level=INFO, username=infinidat, system=vbox-ps-01, description=User 'infinidat' successfully logged in from IP 172.20.89.195
<190>Jan 17 21:51:51 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_LOGIN_SUCCESS, seq_num=8838, level=INFO, username=infinidat, system=vbox-ps-01, description=User 'infinidat' successfully logged in from IP 172.20.89.195
<190>Jan 17 21:57:00 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_SESSION_EXPIRED, seq_num=8839, level=INFO, username=infinidat, system=vbox-ps-01, description=Session expired (Idle) for user 'infinidat' from IP 172.20.89.195. Client ID: 'infinisdk.v235.0.0.dev3.auto-view.lab.gdc.il.infinidat.com.root.778'
<190>Jan 17 21:57:00 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_SESSION_EXPIRED, seq_num=8840, level=INFO, username=infinidat, system=vbox-ps-01, description=Session expired (Idle) for user 'infinidat' from IP 172.20.89.195. Client ID: 'infinisdk.v235.0.0.dev3.auto-view.lab.gdc.il.infinidat.com.root.778'
<190>Jan 17 22:31:00 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_SESSION_EXPIRED, seq_num=8847, level=INFO, username=infinidat, system=vbox-ps-01, description=Session expired (Idle) for user 'infinidat' from IP 172.20.89.195. Client ID: 'infinisdk.v235.0.0.dev3.auto-view.lab.gdc.il.infinidat.com.root.778'
<190>Jan 17 22:31:00 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_SESSION_EXPIRED, seq_num=8848, level=INFO, username=infinidat, system=vbox-ps-01, description=Session expired (Idle) for user 'infinidat' from IP 172.20.89.195. Client ID: 'infinisdk.v235.0.0.dev3.auto-view.lab.gdc.il.infinidat.com.root.778'
<190>JAN 17 22:36:13 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 1
<190>JAN 17 22:36:13 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 2
<190>Jan 17 22:36:13 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=29418878, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing
<190>JAN 17 22:40:28 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 1
<190>JAN 17 22:40:28 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 2
<190>Jan 17 22:40:28 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=29418878, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing
<190>Jan 17 22:40:31 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=NOTIFICATION_RULE_CREATED, seq_num=8933, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Notification rule 'syslog' created
<190>Jan 17 22:40:43 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=NOTIFICATION_RULE_CREATED, seq_num=8944, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Notification rule 'production_email' created
<190>JAN 17 22:48:49 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 1
<190>JAN 17 22:48:49 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 2
<190>Jan 17 22:48:49 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=29418878, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing
<190>Jan 17 22:48:52 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=NOTIFICATION_RULE_CREATED, seq_num=8989, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Notification rule 'syslog' created
<190>Jan 17 23:05:00 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_SESSION_EXPIRED, seq_num=9007, level=INFO, username=infinidat, system=vbox-ps-01, description=Session expired (Idle) for user 'infinidat' from IP 172.20.89.195. Client ID: 'infinisdk.v235.0.0.dev3.auto-view.lab.gdc.il.infinidat.com.root.778'
<190>Jan 17 23:05:00 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_SESSION_EXPIRED, seq_num=9008, level=INFO, username=infinidat, system=vbox-ps-01, description=Session expired (Idle) for user 'infinidat' from IP 172.20.89.195. Client ID: 'infinisdk.v235.0.0.dev3.auto-view.lab.gdc.il.infinidat.com.root.778'
<190>Jan 17 23:08:40 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DEFAULT_COMPRESSION_MODIFIED, seq_num=9017, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=The system default compression was modified to true
<190>Jan 17 23:08:59 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_GROUP_DELETED, seq_num=9034, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Group 'CO-ReadOnly' has been deleted
<190>Jan 17 23:09:00 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_GROUP_CREATED, seq_num=9035, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Group 'CO-ReadOnly' has been created with role:READ_ONLY. The group links to DN:'CN=Infinidat,OU=Security Groups,OU=Groups,OU=Corp,DC=infinidat,DC=com'
<190>Jan 17 23:12:09 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=NOTIFICATION_RULE_UPDATED, seq_num=9041, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Notification rule 'setup_email' updated
<190>Jan 17 23:12:09 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=NOTIFICATION_RULE_UPDATED, seq_num=9042, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Notification rule 'setup_email' updated
<190>Jan 17 23:12:09 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=NOTIFICATION_RULE_UPDATED, seq_num=9043, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Notification rule 'setup_email' updated
<190>Jan 17 23:12:09 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=NOTIFICATION_RULE_UPDATED, seq_num=9044, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Notification rule 'setup_email' updated
<190>Jan 17 23:12:09 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=NOTIFICATION_RULE_UPDATED, seq_num=9045, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Notification rule 'setup_email' updated
<190>Jan 17 23:12:14 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DEFAULT_COMPRESSION_MODIFIED, seq_num=9051, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=The system default compression was modified to true
<190>Jan 17 23:12:32 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_GROUP_DELETED, seq_num=9068, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Group 'CO-ReadOnly' has been deleted
<190>Jan 17 23:12:32 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_GROUP_CREATED, seq_num=9069, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Group 'CO-ReadOnly' has been created with role:READ_ONLY. The group links to DN:'CN=Infinidat,OU=Security Groups,OU=Groups,OU=Corp,DC=infinidat,DC=com'
<190>Jan 17 23:14:54 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=NOTIFICATION_RULE_UPDATED, seq_num=9076, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Notification rule 'setup_email' updated
<190>Jan 17 23:14:54 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=NOTIFICATION_RULE_UPDATED, seq_num=9077, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Notification rule 'setup_email' updated
<190>Jan 17 23:14:54 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=NOTIFICATION_RULE_UPDATED, seq_num=9078, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Notification rule 'setup_email' updated
<190>Jan 17 23:14:54 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=NOTIFICATION_RULE_UPDATED, seq_num=9079, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Notification rule 'setup_email' updated
<190>Jan 17 23:14:54 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=NOTIFICATION_RULE_UPDATED, seq_num=9080, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Notification rule 'setup_email' updated
<190>Jan 17 23:14:54 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=NOTIFICATION_RULE_UPDATED, seq_num=9081, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Notification rule 'setup_email' updated
<190>Jan 17 23:14:59 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DEFAULT_COMPRESSION_MODIFIED, seq_num=9087, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=The system default compression was modified to true
<190>Jan 17 23:15:15 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_GROUP_DELETED, seq_num=9104, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Group 'CO-ReadOnly' has been deleted
<190>Jan 17 23:15:16 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_GROUP_CREATED, seq_num=9105, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Group 'CO-ReadOnly' has been created with role:READ_ONLY. The group links to DN:'CN=Infinidat,OU=Security Groups,OU=Groups,OU=Corp,DC=infinidat,DC=com'
<190>JAN 17 23:15:25 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 1
<190>JAN 17 23:15:25 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 2
<190>Jan 17 23:15:25 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=29418878, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing
<190>Jan 17 23:15:40 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=NOTIFICATION_RULE_CREATED, seq_num=9128, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Notification rule 'production_email' created
<190>Jan 17 23:15:43 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=NOTIFICATION_RULE_DELETED, seq_num=9131, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Notification rule 'setup_email' deleted
<190>Jan 17 23:17:37 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=NOTIFICATION_RULE_CREATED, seq_num=9134, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Notification rule 'setup_email' created
<190>Jan 17 23:17:41 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=NOTIFICATION_RULE_DELETED, seq_num=9137, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Notification rule 'production_email' deleted
<190>Jan 17 23:17:43 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DEFAULT_COMPRESSION_MODIFIED, seq_num=9140, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=The system default compression was modified to true
<190>Jan 17 23:17:59 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_GROUP_DELETED, seq_num=9158, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Group 'CO-ReadOnly' has been deleted
<190>Jan 17 23:18:00 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_GROUP_CREATED, seq_num=9159, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Group 'CO-ReadOnly' has been created with role:READ_ONLY. The group links to DN:'CN=Infinidat,OU=Security Groups,OU=Groups,OU=Corp,DC=infinidat,DC=com'
<190>JAN 17 23:18:09 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 1
<190>JAN 17 23:18:09 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 2
<190>Jan 17 23:18:09 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=29418878, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing
<190>Jan 17 23:18:27 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=NOTIFICATION_RULE_DELETED, seq_num=9187, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Notification rule 'setup_email' deleted
<190>Jan 17 23:23:00 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_SESSION_EXPIRED, seq_num=9189, level=INFO, username=infinidat, system=vbox-ps-01, description=Session expired (Idle) for user 'infinidat' from IP 172.20.89.195. Client ID: 'infinisdk.v235.0.0.dev3.auto-view.lab.gdc.il.infinidat.com.root.778'
<190>Jan 17 23:23:00 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_SESSION_EXPIRED, seq_num=9190, level=INFO, username=infinidat, system=vbox-ps-01, description=Session expired (Idle) for user 'infinidat' from IP 172.20.89.195. Client ID: 'infinisdk.v235.0.0.dev3.auto-view.lab.gdc.il.infinidat.com.root.778'
<190>Jan 17 23:31:20 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DEFAULT_COMPRESSION_MODIFIED, seq_num=9199, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=The system default compression was modified to true
<190>Jan 17 23:31:36 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_GROUP_DELETED, seq_num=9216, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Group 'CO-ReadOnly' has been deleted
<190>Jan 17 23:31:37 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_GROUP_CREATED, seq_num=9217, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Group 'CO-ReadOnly' has been created with role:READ_ONLY. The group links to DN:'CN=Infinidat,OU=Security Groups,OU=Groups,OU=Corp,DC=infinidat,DC=com'
<190>JAN 17 23:31:48 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 1
<190>JAN 17 23:31:48 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 2
<190>Jan 17 23:31:48 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=29418878, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing
<190>JAN 17 23:36:24 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 1
<190>JAN 17 23:36:24 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 2
<190>Jan 17 23:36:24 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=29418878, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing
<190>JAN 17 23:36:27 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 1
<190>JAN 17 23:36:27 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 2
<190>Jan 17 23:36:27 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=29418878, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing
<190>Jan 17 23:36:33 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=NOTIFICATION_RULE_CREATED, seq_num=9283, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Notification rule 'graylog' created
<190>Jan 17 23:36:33 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=NOTIFICATION_RULE_CREATED, seq_num=9283, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Notification rule 'graylog' created
<190>Jan 17 23:39:57 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=NOTIFICATION_RULE_DELETED, seq_num=9299, level=INFO, username=admin, system=vbox-ps-01, description=Notification rule 'graylog' deleted
<190>Jan 17 23:40:00 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_SESSION_EXPIRED, seq_num=9300, level=INFO, username=infinidat, system=vbox-ps-01, description=Session expired (Idle) for user 'infinidat' from IP 172.20.89.195. Client ID: 'infinisdk.v235.0.0.dev3.auto-view.lab.gdc.il.infinidat.com.root.778'
<190>Jan 17 23:40:00 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_SESSION_EXPIRED, seq_num=9301, level=INFO, username=infinidat, system=vbox-ps-01, description=Session expired (Idle) for user 'infinidat' from IP 172.20.89.195. Client ID: 'infinisdk.v235.0.0.dev3.auto-view.lab.gdc.il.infinidat.com.root.778'
<190>Jan 17 23:40:08 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=NOTIFICATION_TARGET_DELETED, seq_num=9302, level=INFO, username=admin, system=vbox-ps-01, description=SYSLOG notification target 'graylog_target' deleted
<190>Jan 17 23:40:29 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DEFAULT_COMPRESSION_MODIFIED, seq_num=9311, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=The system default compression was modified to true
<190>Jan 17 23:40:45 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_GROUP_DELETED, seq_num=9328, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Group 'CO-ReadOnly' has been deleted
<190>Jan 17 23:40:46 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_GROUP_CREATED, seq_num=9329, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Group 'CO-ReadOnly' has been created with role:READ_ONLY. The group links to DN:'CN=Infinidat,OU=Security Groups,OU=Groups,OU=Corp,DC=infinidat,DC=com'
<190>JAN 17 23:40:59 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 1
<190>JAN 17 23:40:59 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 2
<190>Jan 17 23:40:59 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=29418878, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing
<190>JAN 17 23:41:02 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 1
<190>JAN 17 23:41:02 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 2
<190>Jan 17 23:41:02 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=29418878, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing
<190>Jan 17 23:41:08 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=NOTIFICATION_RULE_CREATED, seq_num=9351, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Notification rule 'syslog' created
<190>Jan 17 23:41:11 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=NOTIFICATION_RULE_CREATED, seq_num=9354, level=INFO, username=psus-gitlab-cicd, system=vbox-ps-01, description=Notification rule 'graylog' created
